0.25  -12.1539
0.25325  -12.7844
0.2565  -12.5326
0.25975  -11.9811
0.263  -11.6411
0.26625  -11.4172
0.2695  -11.2631
0.27275  -11.1567
0.276  -11.0862
0.27925  -11.0449
0.2825  -11.0286
0.28575  -11.0352
0.289  -11.0636
0.29225  -11.1141
0.2955  -11.1881
0.29875  -11.2887
0.302  -11.4212
0.30525  -11.5956
0.3085  -11.8298
0.31175  -12.1608
0.315  -12.661
0.31825  -13.0719
0.3215  -12.5411
0.32475  -12.0951
0.328  -11.7984
0.33125  -11.5857
0.3345  -11.4252
0.33775  -11.3004
0.341  -11.2019
0.34425  -11.1238
0.3475  -11.0623
0.35075  -11.0147
0.354  -10.979
0.35725  -10.954
0.3605  -10.9385
0.36375  -10.9319
0.367  -10.9337
0.37025  -10.9434
0.3735  -10.9609
0.37675  -10.9855
0.38  -11.0173
0.38325  -11.0575
0.3865  -11.1063
0.38975  -11.1645
0.393  -11.2332
0.39625  -11.3138
0.3995  -11.4085
0.40275  -11.5203
0.406  -11.6537
0.40925  -11.8159
0.4125  -12.0189
0.41575  -12.2841
0.419  -12.6522
0.42225  -13.1555
0.4255  -13.2074
0.42875  -12.7065
0.432  -12.3295
0.43525  -12.0608
0.4385  -11.8569
0.44175  -11.6949
0.445  -11.5618
0.44825  -11.4499
0.4515  -11.3545
0.45475  -11.272
0.458  -11.2002
0.46125  -11.1372
0.4645  -11.0818
0.46775  -11.0329
0.471  -10.9897
0.47425  -10.9517
0.4775  -10.9181
0.48075  -10.8887
0.484  -10.863
0.48725  -10.8408
0.4905  -10.8218
0.49375  -10.8057
0.497  -10.7924
0.50025  -10.7817
0.5035  -10.7735
0.50675  -10.7676
0.51  -10.764
0.51325  -10.7626
0.5165  -10.7633
0.51975  -10.766
0.523  -10.7707
0.52625  -10.7773
0.5295  -10.7859
0.53275  -10.7964
0.536  -10.8087
0.53925  -10.823
0.5425  -10.8392
0.54575  -10.8573
0.549  -10.8773
0.55225  -10.8994
0.5555  -10.9235
0.55875  -10.9497
0.562  -10.9781
0.56525  -11.0089
0.5685  -11.0421
0.57175  -11.0779
0.575  -11.1164
0.57825  -11.1579
0.5815  -11.2026
0.58475  -11.2508
0.588  -11.3029
0.59125  -11.3593
0.5945  -11.4205
0.59775  -11.4873
0.601  -11.5605
0.60425  -11.6412
0.6075  -11.7307
0.61075  -11.8311
0.614  -11.945
0.61725  -12.0762
0.6205  -12.2303
0.62375  -12.4161
0.627  -12.6486
0.63025  -12.9515
0.6335  -13.3458
0.63675  -13.6208
0.64  -13.3218
0.64325  -12.9377
0.6465  -12.6455
0.64975  -12.4215
0.653  -12.2424
0.65625  -12.0943
0.6595  -11.9685
0.66275  -11.8596
0.666  -11.7637
0.66925  -11.6784
0.6725  -11.6017
0.67575  -11.5322
0.679  -11.4687
0.68225  -11.4105
0.6855  -11.3568
0.68875  -11.3071
0.692  -11.2609
0.69525  -11.2179
0.6985  -11.1777
0.70175  -11.14
0.705  -11.1046
0.70825  -11.0714
0.7115  -11.0401
0.71475  -11.0105
0.718  -10.9826
0.72125  -10.9562
0.7245  -10.9313
0.72775  -10.9077
0.731  -10.8853
0.73425  -10.864
0.7375  -10.8439
0.74075  -10.8248
0.744  -10.8066
0.74725  -10.7894
0.7505  -10.773
0.75375  -10.7575
0.757  -10.7427
0.76025  -10.7287
0.7635  -10.7154
0.76675  -10.7028
0.77  -10.6908
0.77325  -10.6795
0.7765  -10.6687
0.77975  -10.6585
0.783  -10.6489
0.78625  -10.6398
0.7895  -10.6312
0.79275  -10.6231
0.796  -10.6154
0.79925  -10.6082
0.8025  -10.6015
0.80575  -10.5952
0.809  -10.5893
0.81225  -10.5838
0.8155  -10.5787
0.81875  -10.5739
0.822  -10.5695
0.82525  -10.5655
0.8285  -10.5618
0.83175  -10.5585
0.835  -10.5555
0.83825  -10.5528
0.8415  -10.5504
0.84475  -10.5483
0.848  -10.5465
0.85125  -10.545
0.8545  -10.5438
0.85775  -10.5429
0.861  -10.5422
0.86425  -10.5418
0.8675  -10.5416
0.87075  -10.5417
0.874  -10.5421
0.87725  -10.543
0.8805  -10.5442
0.88375  -10.5457
0.887  -10.5474
0.89025  -10.5493
0.8935  -10.5515
0.89675  -10.5539
0.9  -10.5565
0.90325  -10.5593
0.9065  -10.5623
0.90975  -10.5655
0.913  -10.5689
0.91625  -10.5726
0.9195  -10.5764
0.92275  -10.5805
0.926  -10.5847
0.92925  -10.5891
0.9325  -10.5938
0.93575  -10.5986
0.939  -10.6036
0.94225  -10.6088
0.9455  -10.6142
0.94875  -10.6198
0.952  -10.6256
0.95525  -10.6315
0.9585  -10.6377
0.96175  -10.644
0.965  -10.6505
0.96825  -10.6572
0.9715  -10.6641
0.97475  -10.6712
0.978  -10.6785
0.98125  -10.6859
0.9845  -10.6936
0.98775  -10.7014
0.991  -10.7094
0.99425  -10.7176
0.9975  -10.726
1.00075  -10.7346
1.004  -10.7434
1.00725  -10.7523
1.0105  -10.7615
1.01375  -10.7708
1.017  -10.7804
1.02025  -10.7901
1.0235  -10.8001
1.02675  -10.8103
1.03  -10.8206
1.03325  -10.8312
1.0365  -10.842
1.03975  -10.853
1.043  -10.8642
1.04625  -10.8757
1.0495  -10.8874
1.05275  -10.8993
1.056  -10.9114
1.05925  -10.9238
1.0625  -10.9364
1.06575  -10.9492
1.069  -10.9624
1.07225  -10.9757
1.0755  -10.9894
1.07875  -11.0033
1.082  -11.0175
1.08525  -11.0319
1.0885  -11.0467
1.09175  -11.0617
1.095  -11.0771
1.09825  -11.0928
